id,user_id,week,wins,rank
131,6a1e9dce-0335-4268-b2b0-a6f6e6f7fe92,1,12,4
132,9e32bab3-9893-416f-bb69-1125d1c15dfc,1,12,5
143,a35bc3d9-d43c-45ba-9a90-e704fbc4d271,1,9,14
153,0abf214b-5a1d-428f-bb8f-a0ec4f051409,1,11,8
154,bac24cea-1c92-4a66-8018-3684b954cbda,1,11,11
155,16f02317-1916-45d1-8b3f-177e62a903a6,1,10,13
156,f64b1578-cc0e-457c-b634-0fa071c58993,1,13,1
157,ff8c3e6a-ec1b-48c1-b26a-37378dac7c93,1,11,12
159,c9ce2e1d-1985-439f-8a5d-9d5cb5e801c8,1,13,2
160,a5a126b5-cc70-4db9-93a6-59ce5c1a1b6a,1,11,9
161,46781f6c-58da-48d7-978e-60ecf732d19e,1,12,3
158,d0deac45-6ddb-4829-b226-eed9040ca881,1,11,6
162,a984c83a-42bb-4ea0-9c0c-578873185c07,1,11,7
163,ceeb5824-a753-402f-ac46-33955dfc7331,1,11,10
164,ab76ab25-b545-46c2-9535-f60f31df9fc5,1,9,15
